key,en,ar,ku,fa,notes
,,,,,
sceneWord,SCENE,مشهد,دیمەن,صحنه,The word shown on the identity line above each scene heading
interior,INT.,داخلي.,ناوەوە.,داخلی.,Setting picker value
exterior,EXT.,خارجي.,دەرەوە.,خارجی.,Setting picker value
interior_exterior,INT./EXT.,داخلي./خارجي.,ناوەوە./دەرەوە.,داخلی./خارجی.,Setting picker value
exterior_interior,EXT./INT.,خارجي./داخلي.,دەرەوە./ناوەوە.,خارجی./داخلی.,Setting picker value
day,DAY,نهار,ڕۆژ,روز,Time picker value
night,NIGHT,ليل,شەو,شب,Time picker value
continuous,CONTINUOUS,مستمر,بەردەوام,پیوسته,Time picker value
dusk,DUSK,غسق,زەردەپەڕ,غروب,Time picker value
dawn,DAWN,فجر,بەرەبەیان,سپیده‌دم,Time picker value
morning,MORNING,صباحًا,بەیانی,صبح,Time picker value
afternoon,AFTERNOON,بعد الظهر,نیوەڕۆ,بعدازظهر,Time picker value
evening,EVENING,مساءً,ئێوارە,عصر,Time picker value
later,LATER,لاحقًا,دواتر,بعد از آن,Time picker value
moments_later,MOMENTS LATER,بعد لحظات,چەند ساتێک دواتر,لحظاتی بعد,Time picker value
same_time,SAME TIME,نفس الوقت,هەمان کات,همان زمان,Time picker value
,,,,,
action,Action,وصف,وەسف (وێنە),اکشن,Block type name
character,Character,شخصية,کارەکتەر,شخصیت,Block type name
dialogue,Dialogue,حوار,گفتوگۆ,دیالوگ,Block type name
parenthetical,Parenthetical,بين قوسين,نێوكەوانە,پرانتزی,Block type name
transition,Transition,انتقال,گواستنەوە,ترانزیشن,Block type name
shot,Shot,لقطة,گرتە,نما,Block type name
inlineFreeText,Free Text,نص حر,دەقی ئازاد,متن آزاد,Block type name
,,,,,
cut_to,CUT TO:,قطع إلى:,گواستنەوە بۆ:,کات به:,Transition preset
fade_in,FADE IN:,تلاشي للداخل:,سرنجڕاکێشانی هاتنە سەر:,محو شدن به داخل:,Transition preset
fade_out,FADE OUT.,تلاشي للخارج.,سرنجڕاکێشانی چوونە دەرەوە.,محو شدن از پرده.,Transition preset
dissolve_to,DISSOLVE TO:,انحلال إلى:,شیبوونەوە بۆ:,حل شدن به:,Transition preset
match_cut,MATCH CUT:,قطع مطابق:,گواستنەوەی هاوشێوە:,کات مطابق:,Transition preset
smash_cut_to,SMASH CUT TO:,قطع حاد إلى:,گواستنەوەی توند بۆ:,کات شدید به:,Transition preset
,,,,,
character,Character,شخصية,کارەکتەر,شخصیت,Tag entity type
prop,Prop,أداة,كەرەستە,وسیله,Tag entity type
