section,key,en,ar,ku,fa,notes
# ============================================================================
# RWANGA EDITOR — TRANSLATION SOURCE
# Columns: section,key,en,ar,ku,fa,notes
# - "en" is authoritative; never blank. Translate the others.
# - "key" is the programmatic identifier; do NOT translate.
# - "notes" explains where the string appears in the UI.
# - Strings with {placeholders} keep the {placeholder} verbatim.
# - Lines starting with # are comments — leave them.
# ============================================================================

# === SCREENPLAY GRAMMAR — goes into doc.settings.vocabulary ===
screenplay,sceneWord,SCENE,مشهد,دیمەن,صحنه,Identity-line word above each scene
# --- Settings (slug picker) ---
screenplay.settings,interior,INT.,داخلي.,ناوەوە.,داخلی.,Setting picker value
screenplay.settings,exterior,EXT.,خارجي.,دەرەوە.,خارجی.,Setting picker value
screenplay.settings,interior_exterior,INT./EXT.,داخلي./خارجي.,ناوەوە./دەرەوە.,داخلی./خارجی.,Setting picker value
screenplay.settings,exterior_interior,EXT./INT.,خارجي./داخلي.,دەرەوە./ناوەوە.,خارجی./داخلی.,Setting picker value
# --- Times (slug picker) ---
screenplay.times,day,DAY,نهار,ڕۆژ,روز,Time picker value
screenplay.times,night,NIGHT,ليل,شەو,شب,Time picker value
screenplay.times,continuous,CONTINUOUS,مستمر,بەردەوام,پیوسته,Time picker value
screenplay.times,dusk,DUSK,غسق,زەردەپەڕ,غروب,Time picker value
screenplay.times,dawn,DAWN,فجر,بەرەبەیان,سپیده‌دم,Time picker value
screenplay.times,morning,MORNING,صباحًا,بەیانی,صبح,Time picker value
screenplay.times,afternoon,AFTERNOON,بعد الظهر,نیوەڕۆ,بعدازظهر,Time picker value
screenplay.times,evening,EVENING,مساءً,ئێوارە,عصر,Time picker value
screenplay.times,later,LATER,لاحقًا,دواتر,بعد از آن,Time picker value
screenplay.times,moments_later,MOMENTS LATER,بعد لحظات,چەند ساتێک دواتر,لحظاتی بعد,Time picker value
screenplay.times,same_time,SAME TIME,نفس الوقت,هەمان کات,همان زمان,Time picker value
screenplay.times,magic_hour,MAGIC HOUR,ساعة سحرية,کاتژمێری جادوویی,ساعت جادویی,Time picker value
screenplay.times,golden_hour,GOLDEN HOUR,ساعة ذهبية,کاتژمێری زێڕین,ساعت طلایی,Time picker value
screenplay.times,meanwhile,MEANWHILE,في غضون ذلك,لەو کاتەدا,در همین حال,Time picker value
screenplay.times,flashback,FLASHBACK,استرجاع,گەڕانەوە بۆ ڕابردوو,بازگشت به گذشته,Time picker value
screenplay.times,flash_forward,FLASH FORWARD,استشراف,پەلامار بۆ داهاتوو,بازگشت به آینده,Time picker value
# --- Transitions (transition block presets) ---
screenplay.transitions,cut_to,CUT TO:,قطع إلى:,گواستنەوە بۆ:,کات به:,Transition preset
screenplay.transitions,fade_in,FADE IN:,تلاشي للداخل:,سرنجڕاکێشانی هاتنە سەر:,محو شدن به داخل:,Transition preset
screenplay.transitions,fade_out,FADE OUT.,تلاشي للخارج.,سرنجڕاکێشانی چوونە دەرەوە.,محو شدن از پرده.,Transition preset
screenplay.transitions,dissolve_to,DISSOLVE TO:,انحلال إلى:,شیبوونەوە بۆ:,حل شدن به:,Transition preset
screenplay.transitions,match_cut,MATCH CUT:,قطع مطابق:,گواستنەوەی هاوشێوە:,کات مطابق:,Transition preset
screenplay.transitions,smash_cut_to,SMASH CUT TO:,قطع حاد إلى:,گواستنەوەی توند بۆ:,کات شدید به:,Transition preset
screenplay.transitions,back_to,BACK TO:,العودة إلى:,گەڕانەوە بۆ:,بازگشت به:,Transition preset
screenplay.transitions,begin_montage,BEGIN MONTAGE:,بدء المونتاج:,سەرەتای مۆنتاج:,شروع مونتاژ:,Transition preset
screenplay.transitions,end_montage,END MONTAGE.,نهاية المونتاج.,کۆتایی مۆنتاج.,پایان مونتاژ.,Transition preset
screenplay.transitions,intercut,INTERCUT:,تقاطع:,نێوبڕ:,اینترکات:,Transition preset
screenplay.transitions,time_cut,TIME CUT:,قطع زمني:,گواستنەوەی کات:,کات زمانی:,Transition preset
screenplay.transitions,jump_cut_to,JUMP CUT TO:,قطع قافز إلى:,گواستنەوەی هەڵبەزاو بۆ:,جامپ کات به:,Transition preset
# --- Block types — shown in status bar, toolbox, and inspector ---
screenplay.blocks,scene_line,Scene Heading,عنوان المشهد,سەرپەڕەی دیمەن,سرفصل صحنه,Block type display name
screenplay.blocks,action,Action,وصف,وەسف,اکشن,Block type display name
screenplay.blocks,character,Character,شخصية,کارەکتەر,شخصیت,Block type display name
screenplay.blocks,dialogue,Dialogue,حوار,گفتوگۆ,دیالوگ,Block type display name
screenplay.blocks,parenthetical,Parenthetical,بين قوسين,نێوبڕاندن,پرانتزی,Block type display name
screenplay.blocks,transition,Transition,انتقال,گواستنەوە,ترانزیشن,Block type display name
screenplay.blocks,shot,Shot,لقطة,شات,نما,Block type display name
screenplay.blocks,inline_free_text,Free Text,نص حر,دەقی ئازاد,متن آزاد,Block type display name
# --- Common parentheticals (suggestions) ---
